respondent_id,h1n1_vaccine,seasonal_vaccine
27234,0.08,0.12
27235,0.78,0.98
27236,0.12,0.74
27237,0.68,0.83
27238,0.5,0.76
27239,0.51,0.26
27240,0.12,0.38
27241,0.1,0.09
27242,0.22,0.44
27243,0.03,0.15
27244,0.02,0.09
27245,0.26,0.5
27246,0.71,0.88
27247,0.38,0.96
27248,0.14,0.73
27249,0.08,0.53
27250,0.05,0.11
27251,0.08,0.46
27252,0.25,0.51
27253,0.06,0.91
27254,0.77,1.0
27255,0.1,0.53
27256,0.65,0.95
27257,0.45,0.5
27258,0.43,0.74
27259,0.76,0.84
27260,0.22,0.4
27261,0.15,0.76
27262,0.25,0.46
27263,0.15,0.14
27264,0.15,0.19
27265,0.15,0.25
27266,0.36,0.55
27267,0.35,0.59
27268,0.1,0.1
27269,0.64,0.58
27270,0.03,0.13
27271,0.07,0.32
27272,0.07,0.43
27273,0.05,0.23
27274,0.11,0.4
27275,0.31,0.39
27276,0.05,0.14
27277,0.03,0.92
27278,0.32,0.38
27279,0.1,0.44
27280,0.29,0.27
27281,0.15,0.54
27282,0.09,0.87
27283,0.23,0.36
27284,0.3,0.58
27285,0.08,0.31
27286,0.17,0.34
27287,0.34,0.63
27288,0.61,0.75
27289,0.51,0.52
27290,0.11,0.04
27291,0.59,0.87
27292,0.05,0.55
27293,0.1,0.94
27294,0.14,0.05
27295,0.26,0.92
27296,0.02,0.86
27297,0.17,0.85
27298,0.08,0.26
27299,0.21,0.76
27300,0.15,0.75
27301,0.01,0.02
27302,0.17,0.64
27303,0.17,0.29
27304,0.15,0.95
27305,0.22,0.15
27306,0.25,0.62
27307,0.73,0.89
27308,0.24,0.31
27309,0.73,0.98
27310,0.12,0.3
27311,0.12,0.36
27312,0.26,0.37
27313,0.12,0.23
27314,0.07,0.08
27315,0.29,0.11
27316,0.51,0.67
27317,0.24,0.22
27318,0.34,0.47
27319,0.41,0.9
27320,0.67,0.82
27321,0.09,0.91
27322,0.31,0.31
27323,0.13,0.55
27324,0.53,0.78
27325,0.61,0.88
27326,0.17,0.76
27327,0.2,0.31
27328,0.34,0.37
27329,0.09,0.35
27330,0.1,0.64
27331,0.06,0.21
27332,0.2,0.89
27333,0.84,0.68
27334,0.04,0.07
27335,0.26,0.1
27336,0.1,0.22
27337,0.26,0.85
27338,0.14,0.45
27339,0.51,0.39
27340,0.01,0.05
27341,0.18,0.69
27342,0.17,0.52
27343,0.03,0.03
27344,0.39,0.31
27345,0.18,0.25
27346,0.6,0.96
27347,0.61,0.93
27348,0.23,0.42
27349,0.08,0.28
27350,0.2,0.9
27351,0.61,0.76
27352,0.24,0.34
27353,0.07,0.23
27354,0.27,0.67
27355,0.24,0.26
27356,0.32,0.68
27357,0.02,0.32
27358,0.26,0.67
27359,0.34,0.73
27360,0.19,0.82
27361,0.07,0.89
27362,0.27,0.55
27363,0.11,0.15
27364,0.18,0.35
27365,0.34,0.63
27366,0.42,0.67
27367,0.47,0.82
27368,0.07,0.65
27369,0.08,0.08
27370,0.11,0.91
27371,0.47,0.4
27372,0.01,0.12
27373,0.75,0.79
27374,0.0,0.32
27375,0.17,0.89
27376,0.55,0.54
27377,0.16,0.56
27378,0.03,0.14
27379,0.11,0.24
27380,0.13,0.79
27381,0.14,0.56
27382,0.37,0.28
27383,0.23,0.61
27384,0.11,0.66
27385,0.1,0.91
27386,0.07,0.88
27387,0.38,0.91
27388,0.13,0.18
27389,0.31,0.3
27390,0.05,0.1
27391,0.28,0.81
27392,0.85,0.84
27393,0.0,0.04
27394,0.04,0.55
27395,0.68,0.66
27396,0.1,0.14
27397,0.84,0.92
27398,0.46,0.73
27399,0.31,0.48
27400,0.15,0.63
27401,0.32,0.43
27402,0.26,0.65
27403,0.02,0.1
27404,0.36,0.19
27405,0.87,0.92
27406,0.1,0.21
27407,0.09,0.11
27408,0.13,0.5
27409,0.68,0.84
27410,0.2,0.19
27411,0.27,0.12
27412,0.27,0.8
27413,0.12,0.31
27414,0.62,0.76
27415,0.19,0.46
27416,0.12,0.29
27417,0.13,0.58
27418,0.49,0.14
27419,0.77,0.95
27420,0.34,0.38
27421,0.23,0.24
27422,0.57,0.84
27423,0.03,0.37
27424,0.2,0.67
27425,0.27,0.56
27426,0.16,0.2866666666666667
27427,0.15,0.22
27428,0.05,0.09
27429,0.6,0.27
27430,0.15,0.72
27431,0.23,0.56
27432,0.26,0.47
27433,0.1,0.65
27434,0.03,0.17
27435,0.25,0.49
27436,0.08,0.14
27437,0.24,0.18
27438,0.03,0.08
27439,0.56,0.51
27440,0.15,0.13
27441,0.85,0.94
27442,0.49,0.76
27443,0.04,0.15
27444,0.16,0.1
27445,0.08,0.04
27446,0.24,0.23
27447,0.04,0.15
27448,0.34,0.72
27449,0.25,0.93
27450,0.16,0.78
27451,0.1,0.19
27452,0.12,0.46
27453,0.09,0.87
27454,0.11,0.39
27455,0.15,0.31
27456,0.3,0.5
27457,0.08,0.21
27458,0.07,0.54
27459,0.04,0.05
27460,0.7,0.89
27461,0.11,0.14
27462,0.13,0.41
27463,0.19,0.38
27464,0.55,0.67
27465,0.71,0.91
27466,0.04,0.06
27467,0.12,0.27
27468,0.11,0.77
27469,0.08,0.54
27470,0.88,0.9
27471,0.11,0.82
27472,0.34,0.71
27473,0.15,0.32
27474,0.1,0.34
27475,0.04,0.09
27476,0.15,0.54
27477,0.09,0.11
27478,0.04,0.79
27479,0.25,0.35
27480,0.42,0.71
27481,0.73,0.74
27482,0.42,0.24
27483,0.58,0.8
27484,0.47,0.79
27485,0.15,0.84
27486,0.16,0.15
27487,0.15,0.89
27488,0.77,0.8
27489,0.81,0.67
27490,0.04,0.3
27491,0.39,0.46
27492,0.07,0.34
27493,0.09,0.87
27494,0.48,0.68
27495,0.4,0.28
27496,0.03,0.1
27497,0.16,0.1
27498,0.14,0.75
27499,0.27,0.8
27500,0.28,0.86
27501,0.14,0.25
27502,0.15,0.55
27503,0.09,0.81
27504,0.07,0.05
27505,0.01,0.09
27506,0.37,0.86
27507,0.07,0.34
27508,0.11,0.16
27509,0.28,0.53
27510,0.59,0.33
27511,0.46,0.66
27512,0.13,0.26
27513,0.19,0.71
27514,0.45,0.69
27515,0.45,0.4
27516,0.35,0.66
27517,0.05,0.04
27518,0.64,0.85
27519,0.08,0.18
27520,0.08,0.11
27521,0.05,0.48
27522,0.09,0.11
27523,0.07,0.32
27524,0.12,0.54
27525,0.11,0.26
27526,0.61,0.69
27527,0.07,0.98
27528,0.47,0.9
27529,0.23,0.65
27530,0.06,0.12
27531,0.24,0.21
27532,0.07,0.95
27533,0.25,0.55
27534,0.2,0.13
27535,0.12,0.81
27536,0.24,0.35
27537,0.72,0.77
27538,0.47,0.54
27539,0.21,0.8
27540,0.75,0.13
27541,0.62,0.96
27542,0.08,0.21
27543,0.62,0.65
27544,0.4,0.27
27545,0.18,0.14
27546,0.78,0.57
27547,0.09,0.13
27548,0.06,0.93
27549,0.13,0.91
27550,0.1,0.23
27551,0.26,0.61
27552,0.02,0.86
27553,0.08,0.56
27554,0.22,0.34
27555,0.02,0.2
27556,0.16,0.7
27557,0.24,0.92
27558,0.14,0.34
27559,0.25,0.7
27560,0.42,0.75
27561,0.52,0.88
27562,0.32,0.72
27563,0.51,0.55
27564,0.25,0.23
27565,0.31,0.33
27566,0.3,0.26
27567,0.27,0.87
27568,0.67,0.94
27569,0.03,0.08
27570,0.71,0.77
27571,0.07,0.07
27572,0.0,0.0
27573,0.13,0.14
27574,0.37,0.57
27575,0.02,0.4
27576,0.1,0.3
27577,0.2,0.44
27578,0.18,0.5
27579,0.09,0.57
27580,0.03,0.71
27581,0.14,0.23
27582,0.02,0.11
27583,0.25,0.06
27584,0.57,0.65
27585,0.31,0.39
27586,0.55,0.68
27587,0.05,0.73
27588,0.15,0.3
27589,0.14,0.49
27590,0.46,0.55
27591,0.36,0.7
27592,0.16,0.16
27593,0.15,0.15
27594,0.31,0.75
27595,0.05,0.11
27596,0.26,0.26
27597,0.21,0.23
27598,0.18,0.08
27599,0.58,0.79
27600,0.04,0.44
27601,0.1,0.66
27602,0.64,0.86
27603,0.04,0.09
27604,0.07,0.28
27605,0.6,0.68
27606,0.26,0.24
27607,0.53,0.49
27608,0.09,0.7
27609,0.56,0.895
27610,0.38,0.85
27611,0.34,0.13
27612,0.04,0.7
27613,0.81,0.91
27614,0.07,0.34
27615,0.19,0.89
27616,0.02,0.04
27617,0.45,0.55
27618,0.39,0.56
27619,0.49,0.51
27620,0.57,0.56
27621,0.14,0.32
27622,0.53,0.96
27623,0.32,0.82
27624,0.06,0.76
27625,0.07,0.39
27626,0.0,0.12
27627,0.78,0.75
27628,0.13,0.85
27629,0.06,0.14
27630,0.33,0.78
27631,0.24,0.18
27632,0.17,0.5
27633,0.7,0.87
27634,0.18,0.18
27635,0.13,0.15
27636,0.38,0.82
27637,0.26,0.1
27638,0.23,0.25
27639,0.05,0.28
27640,0.61,0.5
27641,0.66,0.55
27642,0.49,0.68
27643,0.08,0.1
27644,0.22,0.69
27645,0.25,0.29
27646,0.07,0.33
27647,0.08,0.18
27648,0.11,0.2
27649,0.12,0.38
27650,0.17,0.69
27651,0.16,0.91
27652,0.29,0.34
27653,0.05,0.14
27654,0.67,0.63
27655,0.2,0.32
27656,0.38,0.26
27657,0.64,0.31
27658,0.07,0.47
27659,0.09,0.06
27660,0.54,0.41
27661,0.27,0.21
27662,0.01,0.37
27663,0.16,0.85
27664,0.3,0.3
27665,0.71,0.68
27666,0.08,0.9
27667,0.0,0.06
27668,0.92,1.0
27669,0.3,0.85
27670,0.51,0.92
27671,0.53,0.82
27672,0.01,0.17
27673,0.08,0.22
27674,0.06,0.53
27675,0.54,0.68
27676,0.38,0.88
27677,0.05,0.32
27678,0.3,0.28
27679,0.05,0.41
27680,0.64,0.85
27681,0.02,0.1
27682,0.08,0.92
27683,0.07,0.74
27684,0.09,0.11
27685,0.03,0.2
27686,0.29,0.59
27687,0.07,0.08
27688,0.09,0.76
27689,0.64,0.98
27690,0.71,0.86
27691,0.59,0.82
27692,0.07,0.33
27693,0.15,0.51
27694,0.21,0.49
27695,0.28,0.47
27696,0.21,0.75
27697,0.7,0.9
27698,0.48,0.56
27699,0.11,0.3
27700,0.08,0.4
27701,0.4,0.37
27702,0.22,0.43
27703,0.03,0.12
27704,0.05,0.08
27705,0.7,0.73
27706,0.08,0.9
27707,0.03,0.34
27708,0.6,0.66
27709,0.31,0.3
27710,0.23,0.26
27711,0.46,0.44
27712,0.07,0.11
27713,0.09,0.09
27714,0.38,0.22
27715,0.75,0.95
27716,0.22,0.26
27717,0.14,0.18
27718,0.12,0.34
27719,0.0,0.06
27720,0.12,0.47
27721,0.48,0.38
27722,0.26,0.38
27723,0.19,0.96
27724,0.15,0.2
27725,0.01,0.71
27726,0.18,0.21
27727,0.27,0.96
27728,0.36,0.47
27729,0.08,0.13
27730,0.74,0.8
27731,0.73,0.91
27732,0.04,0.92
27733,0.03,0.24
27734,0.21,0.52
27735,0.52,0.57
27736,0.1,0.23
27737,0.37,0.68
27738,0.42,0.95
27739,0.63,0.9
27740,0.1,0.39
27741,0.35,0.66
27742,0.17,0.67
27743,0.57,0.81
27744,0.03,0.38
27745,0.9,0.91
27746,0.05,0.74
27747,0.03,0.37
27748,0.35,0.24
27749,0.33,0.82
27750,0.29,0.35
27751,0.12,0.25
27752,0.62,0.87
27753,0.07,0.14
27754,0.26,0.82
27755,0.67,0.9
27756,0.16,0.23
27757,0.03,0.01
27758,0.02,0.87
27759,0.05,0.1
27760,0.38,0.89
27761,0.14,0.8
27762,0.14,0.29
27763,0.09,0.56
27764,0.33,0.38
27765,0.11,0.46
27766,0.77,0.86
27767,0.45,0.89
27768,0.05,0.16
27769,0.11,0.32
27770,0.02,0.56
27771,0.08,0.49
27772,0.71,0.87
27773,0.225,0.58
27774,0.35,0.29
27775,0.1,0.17
27776,0.05,0.06
27777,0.13,0.49
27778,0.22,0.31
27779,0.08,0.19
27780,0.07,0.92
27781,0.06,0.07
27782,0.84,0.98
27783,0.14,0.69
27784,0.29,0.22
27785,0.14,0.54
27786,0.17,0.19
27787,0.15,0.33
27788,0.04,0.21
27789,0.69,0.96
27790,0.6,0.83
27791,0.13,0.44
27792,0.1,0.76
27793,0.35,0.36
27794,0.23,0.22
27795,0.49,0.88
27796,0.09,0.25
27797,0.54,0.65
27798,0.33,0.16
27799,0.24,0.12
27800,0.21,0.39
27801,0.08,0.24
27802,0.79,0.93
27803,0.07,0.02
27804,0.61,0.95
27805,0.1,0.28
27806,0.6,0.89
27807,0.27,0.84
27808,0.27,0.55
27809,0.68,0.9
27810,0.06,0.16
27811,0.0,0.06
27812,0.04,0.21
27813,0.18,0.43
27814,0.26,0.36
27815,0.13,0.42
27816,0.51,0.65
27817,0.14,0.35
27818,0.46,0.83
27819,0.26,0.21
27820,0.71,0.7
27821,0.18,0.2
27822,0.04,0.3
27823,0.4,0.54
27824,0.1,0.81
27825,0.3,0.29
27826,0.26,0.48
27827,0.04,0.06
27828,0.1,0.31
27829,0.05,0.15
27830,0.39,0.26
27831,0.14,0.51
27832,0.18,0.77
27833,0.41,0.37
27834,0.85,0.86
27835,0.56,0.8
27836,0.12,0.86
27837,0.71,0.85
27838,0.03,0.66
27839,0.01,0.25
27840,0.42,0.76
27841,0.27,0.45
27842,0.46,0.88
27843,0.21,0.51
27844,0.1,0.97
27845,0.07,0.82
27846,0.3,0.36
27847,0.06,0.44
27848,0.89,0.78
27849,0.15,0.79
27850,0.24,0.17
27851,0.51,0.13
27852,0.44,0.7
27853,0.19,0.23
27854,0.3,0.8066666666666668
27855,0.34,0.5
27856,0.38,0.81
27857,0.51,0.89
27858,0.81,0.93
27859,0.82,0.9
27860,0.18,0.84
27861,0.08,0.215
27862,0.12,0.13
27863,0.34,0.23
27864,0.09,0.45
27865,0.56,0.59
27866,0.81,0.88
27867,0.45,0.67
27868,0.51,0.91
27869,0.05,0.5
27870,0.28,0.14
27871,0.1,0.65
27872,0.18,0.15
27873,0.19,0.1
27874,0.4,0.83
27875,0.41,0.51
27876,0.12,0.08
27877,0.55,0.52
27878,0.17,0.65
27879,0.06,0.61
27880,0.09,0.38
27881,0.11,0.89
27882,0.18,0.46
27883,0.07,0.12
27884,0.28,0.34
27885,0.03,0.14
27886,0.21,0.23
27887,0.67,0.62
27888,0.29,0.32
27889,0.2,0.15
27890,0.16,0.44
27891,0.39,0.49
27892,0.2,0.1
27893,0.08,0.46
27894,0.23,0.3
27895,0.12,0.85
27896,0.1,0.45
27897,0.01,0.01
27898,0.09,0.08
27899,0.08,0.47
27900,0.3,0.86
27901,0.04,0.03
27902,0.09,0.44
27903,0.11,0.2
27904,0.3,0.41
27905,0.11,0.36
27906,0.09,0.73
27907,0.95,0.92
27908,0.19,0.51
27909,0.15,0.2
27910,0.34,0.69
27911,0.42,0.75
27912,0.06,0.6
27913,0.04,0.39
27914,0.07,0.24
27915,0.01,0.29
27916,0.12,0.42
27917,0.16,0.44
27918,0.27,0.98
27919,0.17,0.48
27920,0.15,0.73
27921,0.11,0.61
27922,0.53,0.7
27923,0.11,0.95
27924,0.23,0.23
27925,0.05,0.1
27926,0.24,0.29
27927,0.08,0.16
27928,0.85,0.94
27929,0.1,0.96
27930,0.22,0.26
27931,0.73,0.82
27932,0.15,0.2
27933,0.08,0.1
27934,0.31,0.34
27935,0.38,0.86
27936,0.11,0.66
27937,0.78,0.92
27938,0.1,0.2
27939,0.03,0.15
27940,0.05,0.27
27941,0.07,0.18
27942,0.08,0.25
27943,0.14,0.79
27944,0.29,0.25
27945,0.49,0.34
27946,0.05,0.09
27947,0.55,0.87
27948,0.04,0.06
27949,0.26,0.53
27950,0.16,0.92
27951,0.5,0.71
27952,0.11,0.85
27953,0.12,0.39
27954,0.1,0.92
27955,0.01,0.81
27956,0.59,0.91
27957,0.04,0.34
27958,0.61,0.81
27959,0.38,0.4
27960,0.23,0.65
27961,0.09,0.21
27962,0.81,0.85
27963,0.0,0.09
27964,0.03,0.06
27965,0.04,0.15
27966,0.68,0.86
27967,0.1,0.11
27968,0.11,0.49
27969,0.74,0.92
27970,0.22,0.38
27971,0.01,0.75
27972,0.09,0.51
